name,link
我覺得牠們很可愛,https://www.csie.ntu.edu.tw/~b11902015/mygo/我覺得牠們很可愛.png
現在沒有時間玩了吧,https://www.csie.ntu.edu.tw/~b11902015/mygo/現在沒有時間玩了吧.png
不要講這種話,https://www.csie.ntu.edu.tw/~b11902015/mygo/不要講這種話.png
有趣的女人,https://www.csie.ntu.edu.tw/~b11902015/mygo/有趣的女人.png
只有我這麼想嗎,https://www.csie.ntu.edu.tw/~b11902015/mygo/只有我這麼想嗎.png
讓我們一起迷失吧,https://www.csie.ntu.edu.tw/~b11902015/mygo/讓我們一起迷失吧.png
不需要妳擔心,https://www.csie.ntu.edu.tw/~b11902015/mygo/不需要妳擔心.png
要我怎麼做妳們才肯回來,https://www.csie.ntu.edu.tw/~b11902015/mygo/要我怎麼做妳們才肯回來.png
不行,https://www.csie.ntu.edu.tw/~b11902015/mygo/不行.png
不要走,https://www.csie.ntu.edu.tw/~b11902015/mygo/不要走.png
祝你幸福,https://www.csie.ntu.edu.tw/~b11902015/mygo/祝你幸福.png
不錯吧,https://www.csie.ntu.edu.tw/~b11902015/mygo/不錯吧.png
每次講話都好沉重喔,https://www.csie.ntu.edu.tw/~b11902015/mygo/每次講話都好沉重喔.png
原來妳是這麼想的呀,https://www.csie.ntu.edu.tw/~b11902015/mygo/原來妳是這麼想的呀.png
妳是抱著多大的覺悟說出這種話的,https://www.csie.ntu.edu.tw/~b11902015/mygo/妳是抱著多大的覺悟說出這種話的.png
"""普通""和""理所當然""是什麼呢","https://www.csie.ntu.edu.tw/~b11902015/mygo/""普通""和""理所當然""是什麼呢.png"
所以我已經親手將它結束了,https://www.csie.ntu.edu.tw/~b11902015/mygo/所以我已經親手將它結束了.png
不是這樣,https://www.csie.ntu.edu.tw/~b11902015/mygo/不是這樣.png
先冷靜下來談談吧，好嗎,https://www.csie.ntu.edu.tw/~b11902015/mygo/先冷靜下來談談吧，好嗎.png
一點也不想碰見的人出現了,https://www.csie.ntu.edu.tw/~b11902015/mygo/一點也不想碰見的人出現了.png
好硬派,https://www.csie.ntu.edu.tw/~b11902015/mygo/好硬派.png
不要逃啦,https://www.csie.ntu.edu.tw/~b11902015/mygo/不要逃啦.png
現在是講這個的時候嗎,https://www.csie.ntu.edu.tw/~b11902015/mygo/現在是講這個的時候嗎.png
我為什麼要聽妳的,https://www.csie.ntu.edu.tw/~b11902015/mygo/我為什麼要聽妳的.png
現在才講這個？,https://www.csie.ntu.edu.tw/~b11902015/mygo/現在才講這個？.png
我是來這裡結束這樂團的,https://www.csie.ntu.edu.tw/~b11902015/mygo/我是來這裡結束這樂團的.png
抱歉,https://www.csie.ntu.edu.tw/~b11902015/mygo/抱歉.png
為什麼...,https://www.csie.ntu.edu.tw/~b11902015/mygo/為什麼....png
春日影就好了吧,https://www.csie.ntu.edu.tw/~b11902015/mygo/春日影就好了吧.png
好長的貓,https://www.csie.ntu.edu.tw/~b11902015/mygo/好長的貓.png
妳等我一下,https://www.csie.ntu.edu.tw/~b11902015/mygo/妳等我一下.png
真傷腦筋,https://www.csie.ntu.edu.tw/~b11902015/mygo/真傷腦筋.png
差勁,https://www.csie.ntu.edu.tw/~b11902015/mygo/差勁.png
我實在沒有辦法,https://www.csie.ntu.edu.tw/~b11902015/mygo/我實在沒有辦法.png
是我自己的問題,https://www.csie.ntu.edu.tw/~b11902015/mygo/是我自己的問題.png
看來有必要好好把話說清楚,https://www.csie.ntu.edu.tw/~b11902015/mygo/看來有必要好好把話說清楚.png
