name,link
你為什麼不問問神奇海螺呢,https://i.imgur.com/XB4MwpR.jpg
你現在是在懷疑神奇海螺的神奇魔力嗎,https://i.imgur.com/Mz19r2y.jpg
怎麼可能會有人說出這句沒有意義的話呢,https://i.imgur.com/TBKrCPg.jpg
派欸,https://i.imgur.com/LnqYfQv.jpg
今天很嗆是吧,https://i.imgur.com/u0dL09Z.jpg
這只是一幅畫像 不是真的人,https://i.imgur.com/EbS6NvP.jpg
看到沒有 這可是門科學,https://i.imgur.com/NLORoDg.jpg
你什麼時候才要離開你的幻想小世界啊,https://i.imgur.com/nnQ0Soo.jpg
先生 沒有那種東西,https://i.imgur.com/ExFTpbu.jpg
你還不懂嗎你這甲殼類大頭呆,https://i.imgur.com/e1MIxsr.jpg
難道說我的表情還不夠確定嗎,https://i.imgur.com/kO3SS5X.jpg
你真的很臭,https://i.imgur.com/qTusPtU.jpg
小朋友 發動你的引擎,https://i.imgur.com/6PcN2dU.jpg
好了 尖頭 給我納命來,https://i.imgur.com/OIhx0eB.jpg
你叫誰尖頭啊,https://i.imgur.com/uQQNedS.jpg
芝麻開門,https://i.imgur.com/C2Aj8gg.jpg
沒關係 你慢慢想,https://i.imgur.com/YHYcLwR.jpg
誰會想在凌晨三點吃美味蟹堡,https://i.imgur.com/nWkSB2G.jpg
好棒 三點了,https://i.imgur.com/gF69EIo.jpg
我...我要去檢舉你,https://i.imgur.com/etx3P2j.jpg
你太可悲了,https://i.imgur.com/kLoWL4L.jpg
請你面對事實 這樣只會傷害你自己,https://i.imgur.com/yFwUyLL.jpg
我還以為你喜歡的是我,https://i.imgur.com/5LJzVJg.jpg
不是 我是派大星,https://i.imgur.com/nnbCbAJ.jpg
不是啦 我是派大星,https://i.imgur.com/TywYVqi.jpg
老弟 你是負責搞笑的是嗎,https://i.imgur.com/kh6Utcl.jpg
再繞到她後面 我來下手,https://i.imgur.com/Mza9ebo.jpg
真的好想好想要,https://i.imgur.com/iVXYbSV.jpg
你拿你的臭嘴去親你老媽啦,https://i.imgur.com/8qys1ld.jpg
我要去舔大理石,https://i.imgur.com/bY8mnD0.jpg
我要變成大理石,https://i.imgur.com/LY5y3PB.jpg
"""我會為海膽踩煞車""",https://i.imgur.com/96HogRZ.jpg
而且一小時只有50塊錢耶,https://i.imgur.com/0PWQKnN.jpg
好奇怪 那不是我的名字,https://i.imgur.com/Qnwxds8.jpg
講話大聲的人就會很有力量,https://i.imgur.com/bcTtZZp.jpg
至少我們還擁有彼此啊,https://i.imgur.com/UYhb8kb.jpg
課本沒有教耶,https://i.imgur.com/G6oyGKW.jpg
看樣子我們的史前好朋友剛剛發現了火,https://i.imgur.com/pf1rJDh.jpg
我破產了,https://i.imgur.com/9CTti39.jpg
我需要錢,https://i.imgur.com/oV9Lsl9.jpg
我警告你,https://i.imgur.com/J3b6ew8.jpg
騙子 騙子 你是臭騙子,https://i.imgur.com/OiMNaYX.jpg
你偷了我僅有的食物,https://i.imgur.com/E91Wg8Z.jpg
現在我要餓死了,https://i.imgur.com/mElL7bg.jpg
好可憐哦,https://i.imgur.com/HMqZOm2.jpg
長官 這個任務可以讓我充滿了希望,https://i.imgur.com/10i8bGf.jpg
帽子給我好嗎,https://i.imgur.com/EZpwKjT.jpg
不要跟我頂嘴,https://i.imgur.com/zfijIaD.jpg
開胃菜抓狂了,https://i.imgur.com/Hsf2OHu.jpg
我的動機何在,https://i.imgur.com/23rxaaW.jpg
好吵喔,https://i.imgur.com/q0nhD7a.jpg
不 我弄破了,https://i.imgur.com/DWjxWk2.jpg
沒文化的垃圾渣渣,https://i.imgur.com/zz4siY5.jpg
派大星啊 你真的好會殺價,https://i.imgur.com/Q2u1Z1m.jpg
發財囉,https://i.imgur.com/dzbndNl.jpg
這種可怕又殘酷的幻影什麼時候才會消失,https://i.imgur.com/tHys8w2.jpg
然後我就可以扁他了 對嗎,https://i.imgur.com/rPFLk99.jpg
再摔一次 我沒看到,https://i.imgur.com/PWq1WlB.jpg
你到別的地方去耍笨好不好,https://i.imgur.com/lU4M8J2.jpg
我不想欸,https://i.imgur.com/1YmJUUt.jpg
你不要來亂好不好,https://i.imgur.com/jlrbKH9.jpg
一塊唱歌唱得好好聽哦,https://i.imgur.com/9704PCM.jpg
快點離開這裡,https://i.imgur.com/eUv3bLh.jpg
生日快樂 章魚哥,https://i.imgur.com/95Jh91r.jpg
祝你生日快樂...,https://i.imgur.com/suA8m2b.jpg
祝你生日快樂 我們來為你慶生,https://i.imgur.com/SQQPJle.jpg
祝你生日快樂 生日快樂蛋糕...,https://i.imgur.com/41ChihV.jpg
今天根本就不是我的生日,https://i.imgur.com/stmFOWY.jpg
那這些是學習樓梯 對嗎,https://i.imgur.com/cMznKlB.jpg
不 那只是普通樓梯啦,https://i.imgur.com/8mwpK29.jpg
這個才是學習樓梯,https://i.imgur.com/Ru7mcE5.jpg
24,https://i.imgur.com/TDtBZOC.jpg
那胖子在跟誰說話,https://i.imgur.com/g9wtUSv.jpg
慘了 又來個天兵,https://i.imgur.com/RYzTLi0.jpg
因為兇兇肥婆叫你去坐 快點,https://i.imgur.com/dmRsBnD.jpg
我長得有這麼畸形嗎 海綿寶寶,https://i.imgur.com/780r7zI.jpg
他們在耍笨阿,https://i.imgur.com/dtfhsYk.jpg
沒有人敢叫我胖呆,https://i.imgur.com/exKhxXr.jpg
好好享受一下,https://i.imgur.com/SsZigM7.jpg
我好愛你,https://i.imgur.com/wZvbjgI.jpg
看我怎麼打扁你,https://i.imgur.com/QyNsmJw.jpg
因為我們擁有神奇的想像力,https://i.imgur.com/rjApJR6.jpg
安養院裡面的老頭子 都比你要機伶多了,https://i.imgur.com/fzsBMyY.jpg
無大腦生活研討會會場在哪裡 不要遲到了,https://i.imgur.com/mJ0aMVQ.jpg
你簡直比火雞三明治 還要沒腦袋,https://i.imgur.com/KuJ38OU.jpg
這個地方比我想像中還要棒耶,https://i.imgur.com/6WHm4II.jpg
靠近看變得更醜了,https://i.imgur.com/0nWxUkl.jpg
因為笨蛋永遠都不知道自己到底有多笨有多呆,https://i.imgur.com/j1xWt1C.jpg
是誰把這碗洋蔥放在這裡,https://i.imgur.com/9SJHeQ8.jpg
照我看來 他可能比接線生還要笨,https://i.imgur.com/b1GZT3S.jpg
我爸媽覺得我比一袋尿布還要笨,https://i.imgur.com/XqNUNGi.jpg
太不健康了,https://i.imgur.com/bfwRvbX.jpg
你們是誰,https://i.imgur.com/NQOoYEr.jpg
我跟你打招呼 不是你可以隨便倒轉回來,https://i.imgur.com/ibsAi2W.jpg
煩耶 你哪來這麼多的問題,https://i.imgur.com/1eSTgal.jpg
只要你記得拿去還 就不算是偷,https://i.imgur.com/mt6mKmX.jpg
好棒哦,https://i.imgur.com/1japfbv.jpg
猜誰剛辭職了,https://i.imgur.com/rc98Fxj.jpg
好討厭喔,https://i.imgur.com/w294tB3.jpg
有什麼用 我什麼事情都做不好,https://i.imgur.com/zhjuF7K.jpg
電話在那裡,https://i.imgur.com/CKq7yEm.jpg
我要走向電話,https://i.imgur.com/bXBxenS.jpg
我越來越接近電話了,https://i.imgur.com/ySOTlPe.jpg
現在 我們最期待的一刻就要到來了,https://i.imgur.com/xh5Cmx7.jpg
我好想吃掉你哦,https://i.imgur.com/aXZP6b3.jpg
兄弟 要搭便車嗎,https://i.imgur.com/aGgiJTH.jpg
我可能沒有勇氣聽下去,https://i.imgur.com/H2Pj9qG.jpg
趕快給我走啦 你這個笨動物,https://i.imgur.com/5nWGcWg.jpg
你們到底有沒有大腦啊,https://i.imgur.com/mqh5Jcm.jpg
有了想像力,https://i.imgur.com/5mdZbBb.jpg
我看不到我的額頭,https://i.imgur.com/wrMLgi8.jpg
蓬蓬小褲褲,https://i.imgur.com/71KpkX4.jpg
我得幫我的手錶畫個電池,https://i.imgur.com/9YYcuth.jpg
那是綠色的,https://i.imgur.com/z0XqpcK.jpg
綠的,https://i.imgur.com/xAda8pY.jpg
你可以再慢一點,https://i.imgur.com/GrlTXhR.jpg
小朋友 我跟你們一起玩好不好,https://i.imgur.com/ujoa778.jpg
